City,Subject,Question,Question rank 1-3,Translation (if needed)
Bangkok,Global Warming,What is global warming?,1,
Bangkok,Global Warming,How to reduce global warming?,2,
Bangkok,Global Warming,What are the greenhouse gases that cause global warming?,3,แก๊ส เรือน กระจก ที่ ทํา ให้ เกิด ภาวะ โลก ร้อน
Bangkok,Energy,What is the best option energy for Thailand?,1,
Bangkok,Energy,How do cells produce energy?,2,
Bangkok,Energy,How do I keep my fridge from using lots of power?,3,
Bangkok,Air Pollution,What are the effects of air pollution?,1,ผล กระทบ มลภาวะ ทาง อากาศ
Bangkok,Air Pollution,What is the major source of air pollution?,2,
Bangkok,Air Pollution,Is Bangkok safe?,3,
Bangkok,Drinking Water,Is it safe to drink water in Thailand?,1,
Bangkok,Drinking Water,What is the lead limit in drinking water?,2,
Bangkok,Drinking Water,What is clean water?,3,
Bangkok,Oceans,Which is the scariest ocean in the world?,1,มหาสมุทร ที่ น่า กลัว ที่สุด ใน โลก
Bangkok,Oceans,How many oceans are there?,2,มหาสมุทร มี กี่ มหาสมุทร
Bangkok,Oceans,How many krill are in the ocean?,3,
Bangkok,Natural Environment,What is the impact of living things and the environment caused by earthquakes and landslides?,1,
Bangkok,Natural Environment,What is the impact of technology on environment?,2,
Bangkok,Natural Environment,What factors are needed for a sustainable environment?,3,
Bangkok,Health,How do you eat healthy?,1,
Bangkok,Health,Is Thai food healthy?,2,
Bangkok,Health,Is health better than wealth?,3,
Bangkok,Wildlife,Why is Rayong special?,1,
Bangkok,Wildlife,How can people be made to conserve forests before they disappear?,2,
Bangkok,Wildlife,How do you protect wildlife?,3,
Bangkok,Recycling,How can you recycle plastic bags?,1,
Bangkok,Recycling,How do you recycle newspapers?,2,
Bangkok,Recycling,Are cosmetic containers recyclable waste?,3,
London,Global Warming,What is global warming?,1,
London,Global Warming,What causes global warming?,2,
London,Global Warming,Is global warming real?,3,
London,Energy,Are smartphones energy efficient?,1,
London,Energy,What is a renewable energy source?,2,
London,Energy,How do you caculate enery efficiency?,3,
London,Air Pollution,Where does air pollution come from?,1,
London,Air Pollution,How does air pollution affect the environment?,2,
London,Air Pollution,What are the sources of air pollution?,3,
London,Drinking Water,How much water to drink a day?,1,
London,Drinking Water,Is drinking water good for you?,2,
London,Drinking Water,When can babies drink water?,3,
London,Oceans,How many oceans are there?,1,
London,Oceans,How deep is the ocean?,2,
