Topic,City,Country,CityRank,Population,Link,Headline,Description,Date
Global Warming,Ystrad Mynach,United Kingdom,1,"13,500",http://www.telegraph.co.uk/news/weather/5469305/Torrential-rain-brings-flood-chaos-to-parts-of-Britain.html?mobile=true,Torrential rain brings flood chaos to parts of Britain,"Flash floods caused havoc across parts Britain on Sunday, with homes evacuated and holidaymakers rescued as torrential rain brought the heatwave to a sudden end.",6/7/2009
Global Warming,Ixmiquilpan,Mexico,2,"73,903",http://www.cec.org/Page.asp?PageID=122&ContentID=25446,Carbon Market Links Between California and Mexico ,"Forest loss and degradation are major contributors to global climate change, constituting the second largest source of anthropogenic CO2 emissions after fossil fuel combustion.",6/5/2015
Global Warming,Milagro,Ecuador,3,"166,634",http://latinamericanscience.org/2013/11/ecuador-steps-up-its-fight-against-climate-change/,Ecuador steps up its fight against climate change,"Ecuador contributes around 0.1% of the globe’s greenhouse gases but the effects of climate change are evident throughout the country, especially around sources of water.",9/6/2013
Global Warming,Tula,Mexico,4,"103,919",http://www.trust.org/item/20130627090122-c2lxt/,Mexico aims to cut home energy use with green loan plan,"MEXICO CITY – Since the 1980s, the Mexican government has subsidised massive tract-housing projects around the country, filling them with hundreds of thousands of concrete-block, brick and mortar structures that have no insulation or other comfort control features.",6/27/2013
Global Warming,Santo Domingo,Ecuador,5,"228,384",http://voices.nationalgeographic.com/2009/12/07/547_conservation_photographers/,Conservation photographers provide clear picture of climate change,"As tens of thousands of delegates–heads of government, scientists and journalists among them–gather in Copenhagen over the next two weeks to discuss what can be done to slow the rate of climate change, you may be sure that there will be a flood of speeches, charts, graphs, and reports.",12/7/2009
Energy,Clemson,United States,1,"14,276",http://www.abcnews4.com/story/24034571/clemson-dedicating-110-million-energy-center,Clemson opens $110 million renewable energy center in Lowcountry,"NORTH CHARLESTON, S.C. -- Clemson University held a grand opening for its $110 million Energy Systems Innovation Center in North Charleston Thursday.",9/21/2013
Energy,Stanford,United States,2,"13,809",http://www.businesswire.com/news/home/20150416006763/en/Stanford-Energy-System-Cuts-Greenhouse-Gas-Emissions#.VUBCsK1VhTI,New Stanford Energy System Cuts Greenhouse Gas Emissions 68 Percent and Fossil Fuel 65 Percent,"STANFORD, Calif.-- Stanford announces an innovative new approach to meeting its energy needs that will make it one of the world's most energy-efficient universities.",4/16/2015
Energy,Roorkee,India,3,"2,900,900",http://www.business-standard.com/article/economy-policy/rawat-to-privatise-power-distribution-in-2-towns-115030301341_1.html,Rawat to privatise power distribution in 2 towns,The Uttarakhand Cabinet has approved the privatisation of power distribution systems in Kashipur and Roorkee circles.,3/3/2015
Energy,Kharagpur,India,4,"188,761",http://timesofindia.indiatimes.com/home/environment/pollution/India-should-prepare-to-face-extreme-weather-warn-scientists/articleshow/46678976.cms,"India should prepare to face extreme weather, warn scientists","BENGALURU: Around the same time as Cyclone Pam flattened the tiny Pacific island nation of Vanuatu early this month, untimely rains and hailstorms lashed Maharashtra in India destroying at least 5.5 million hectares of winter crops. ",3/24/2015
Energy,Houghton,United States,5,"7,650",http://www.mtu.edu/news/stories/2015/march/tapping-into-mine-water-for-geothermal-energy.html,Tapping into Mine Water for Geothermal Energy,"Millions of miles of tunnels criss-cross the ground under old mining communities across the United States. Abandoned, falling apart and choked with water, the tunnels are often viewed as a dangerous legacy. But the water in these mines could actually be a major geothermal resource.",4/2/2015
Air Pollution,Karma,India,1,"5,753",http://www.moneylife.in/article/air-pollution-severely-hits-wheat-rice-production-in-india-says-study/39335.html,"Air pollution severely hits wheat, rice production in India, says study",Short-lived climate pollutants-SLCPs have had significant impact on crop yields in India in recent decades.,5/11/2014
Air Pollution,Los Altos Hills,United States,2,"8,334",http://patch.com/california/losaltos/another-no-burn-day-los-altos-spare-air-alert-issued-monday,Another 'No Burn' Day in Los Altos: 'Spare the Air' Alert Issued for Monday,"The 10th Winter Spare the Air Alert this season has been issued for Monday, according to officials with the Bay Area Air Quality Management District.",1/5/2015
Air Pollution,Kulim,Malaysia,3,"228,662",http://www.traveldailynews.asia/news/article/55856/controversy-in-northern-malaysia-over,Controversy in Northern Malaysia over an airport shows political rift,KUCHING - The Chief Minister of Kedah State in Malaysia bears a famous patronym: Mukhriz Mahathir.,6/18/2014
Air Pollution,Kuala Krai,Malaysia,4,"117,800",http://www.todayonline.com/world/asia/taps-stay-dry-kuala-krai-struggles-rebuild-after-flood,"As taps stay dry, Kuala Krai struggles to rebuild after flood","KUALA KRAI  — The sun has risen over Kuala Krai, but the Kelantan town 64km south of Kota Baru has yet to stir from the worst flood in recent history last week.",1/4/2015
Air Pollution,Clovis,United States,5,"99,769",http://www.fresnobee.com/2014/12/02/4265212/new-air-standard-nationwide-but.html,"New air standard nationwide, but Valley still heart of ozone harm in U.S.","Yes, the rest of the country will see an impact from the new ozone standard, but nothing like the San Joaquin Valley and Southern California.",12/2/2014
Drinking Water,Joinville-le-Pont,France,1,"17,420",http://www.joinville-le-pont.info/article-16650780.html,Increased particle pollution in France,"Airparif , the body responsible for monitoring the air quality in France, issued its report on February 2007.",2/28/2015
Drinking Water,Montpelier,United States,2,"7,755",http://vtdigger.org/2015/04/06/sierra-club-vermont-follow-through-on-strong-clean-water-legislation-this-year/,Sierra Club Vermont: Follow through on strong clean water legislation this year,"Vermonters are at a turning point in our relationship with water. Rushing rivers, winding streams, and calm lakes are vital to the state’s economy and identity.",4/6/2015
Drinking Water,Whitehorse,Canada,3,"27,889",http://www.cbc.ca/news/canada/north/questions-about-water-quality-at-liard-first-nation-1.3042372,Questions about water quality at Liard First Nation,"Members of Liard First Nation near Watson Lake, Yukon, say they don't trust their drinking water.",4/23/2015
Drinking Water,Mansoura,Egypt,4,"439,248",http://www.ncbi.nlm.nih.gov/pubmed/17580568,"Protozoal pollution of surface water sources in Dakahlia Governorate, Egypt.","Water samples were collected different water sources and different districts of Dakahlia G., from September 2005 to August 2006, were investigated for pathogenic protozoa. ",4/1/2015
